epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2903.95,0.70517,0.38951,0.86087,0.99549,0.99729,0.99451,0.81626,0.69914,0.33831,0.87013,0.000540037,0.000540037,0.000540037
43,2967.14,0.69078,0.37907,0.85636,0.9949,0.99754,0.99466,0.81984,0.68975,0.33308,0.86793,0.000531038,0.000531038,0.000531038
44,3036.78,0.68885,0.37788,0.85906,0.99534,0.99686,0.99472,0.81713,0.70741,0.3397,0.87078,0.000522039,0.000522039,0.000522039
45,3108.3,0.68467,0.3757,0.85436,0.99616,0.99777,0.99467,0.82902,0.67992,0.32829,0.86579,0.00051304,0.00051304,0.00051304
46,3172.57,0.68636,0.37618,0.85637,0.99621,0.99806,0.99457,0.82041,0.6875,0.333,0.86671,0.00050404,0.00050404,0.00050404
47,3242.58,0.68113,0.37347,0.85652,0.99579,0.99838,0.99468,0.82964,0.67495,0.32262,0.86486,0.000495041,0.000495041,0.000495041
48,3311.09,0.66567,0.36404,0.85256,0.99743,0.99791,0.99471,0.8295,0.67476,0.32188,0.8651,0.000486042,0.000486042,0.000486042
49,3371.52,0.66688,0.36215,0.85106,0.99563,0.99823,0.99428,0.82405,0.68187,0.32757,0.8656,0.000477043,0.000477043,0.000477043
50,3436.41,0.66968,0.36493,0.85385,0.99659,0.99864,0.99455,0.83108,0.68349,0.32341,0.86523,0.000468044,0.000468044,0.000468044
51,3507.52,0.6751,0.36646,0.85314,0.99802,0.99826,0.99469,0.82959,0.67792,0.32456,0.86671,0.000459045,0.000459045,0.000459045
52,3575.47,0.67,0.36403,0.85235,0.99757,0.99774,0.99467,0.82361,0.68759,0.32258,0.86431,0.000450046,0.000450046,0.000450046
53,3644.48,0.66891,0.35967,0.85374,0.99631,0.9976,0.99463,0.82796,0.68343,0.32445,0.865,0.000441047,0.000441047,0.000441047
54,3713.34,0.66279,0.35904,0.85117,0.99613,0.99829,0.99459,0.83142,0.67,0.31429,0.86314,0.000432048,0.000432048,0.000432048
55,3780.07,0.65873,0.35726,0.84807,0.99771,0.9982,0.99459,0.83154,0.68244,0.318,0.86705,0.000423049,0.000423049,0.000423049
56,3840.88,0.65149,0.3544,0.85005,0.99627,0.99809,0.99463,0.82949,0.67877,0.31756,0.86448,0.000414049,0.000414049,0.000414049
